gameid,teamname,result,assists,teamkills,teamdeaths,teamkda,dragons,barons,dragons&barons,towers,inhibitors,tower&inhibitors,damagetochampions,visionscore,earnedgold
ESPORTSTMNT02_3224004,T1,0,21,7,11,2.545454545,1,1,2,7,0,7,85459,382,45682
ESPORTSTMNT02_3223058,T1,1,47,15,5,12.4,2,1,3,11,4,15,77428,316,42695
ESPORTSTMNT02_3222438,T1,0,6,2,11,0.727272727,0,0,0,1,0,1,40739,245,30425
ESPORTSTMNT03_3197780,T1,1,22,10,6,5.333333333,3,2,5,8,1,9,72206,269,38170
ESPORTSTMNT03_3195856,T1,0,21,8,17,1.705882353,1,0,1,2,0,2,62084,235,31257
ESPORTSTMNT03_3196827,T1,0,10,4,11,1.272727273,1,0,1,6,0,6,51121,327,37148
ESPORTSTMNT03_3199067,T1,0,8,4,16,0.75,0,0,0,2,0,2,50325,178,23537
ESPORTSTMNT03_3199084,T1,0,10,5,21,0.714285714,0,1,1,3,0,3,37194,200,29074
ESPORTSTMNT01_3404937,T1,1,34,13,4,11.75,3,1,4,7,1,8,45735,188,31895
ESPORTSTMNT01_3404962,T1,1,43,15,3,19.33333333,2,1,3,10,2,12,53350,195,35752
ESPORTSTMNT01_3407478,T1,1,35,12,5,9.4,2,2,4,10,2,12,55713,238,37052
ESPORTSTMNT01_3408461,T1,0,0,0,0,∞,0,0,0,0,0,0,1591,3,1925
ESPORTSTMNT01_3407530,T1,1,58,21,4,19.75,4,2,6,11,3,14,88944,303,45881
ESPORTSTMNT01_3410713,T1,1,33,13,6,7.666666667,4,2,6,10,2,12,65536,246,39011
ESPORTSTMNT01_3410723,T1,0,4,2,12,0.5,1,1,2,4,0,4,49583,281,35740
ESPORTSTMNT01_3410725,T1,1,37,15,12,4.333333333,4,1,5,8,1,9,85921,348,44578
