gameid,teamname,result,assists,teamkills,teamdeaths,teamkda,dragons,barons,dragons&barons,towers,inhibitors,tower&inhibitors,damagetochampions,visionscore,earnedgold
11308-11308_game_1,Bilibili Gaming,0,13,7,21,0.952380952,3,0,3,5,0,5,71885,251,30461
11308-11308_game_2,Bilibili Gaming,1,50,21,6,11.83333333,2,1,3,10,1,11,66770,198,37796
11308-11308_game_3,Bilibili Gaming,1,30,18,8,6,4,1,5,11,3,14,84952,242,40863
11317-11317_game_1,Bilibili Gaming,0,4,5,13,0.692307692,1,1,2,3,0,3,65004,219,31765
11317-11317_game_2,Bilibili Gaming,1,45,16,8,7.625,2,1,3,10,3,13,125180,318,44967
11317-11317_game_3,Bilibili Gaming,1,44,20,12,5.333333333,3,2,5,9,1,10,95779,344,48134
11327-11327_game_1,Bilibili Gaming,1,41,18,2,29.5,2,1,3,9,1,10,73686,231,34541
11327-11327_game_2,Bilibili Gaming,0,36,16,22,2.363636364,1,2,3,9,2,11,81577,369,46672
11327-11327_game_3,Bilibili Gaming,1,37,15,5,10.4,4,2,6,11,3,14,75610,266,41382
11328-11328_game_1,Bilibili Gaming,1,56,27,24,3.458333333,3,2,5,10,1,11,128872,386,52078
11328-11328_game_2,Bilibili Gaming,1,59,27,5,17.2,1,1,2,8,1,9,78960,198,35908
11357-11357_game_1,Bilibili Gaming,1,33,14,4,11.75,4,1,5,9,1,10,93542,312,48447
11357-11357_game_2,Bilibili Gaming,1,44,19,6,10.5,2,2,4,9,1,10,84408,254,43107
11357-11357_game_3,Bilibili Gaming,1,67,34,17,5.941176471,3,1,4,10,2,12,91549,212,43147
11359-11359_game_1,Bilibili Gaming,0,24,14,26,1.461538462,4,0,4,1,0,1,61611,228,32050
11359-11359_game_2,Bilibili Gaming,1,50,19,6,11.5,3,1,4,8,1,9,77531,272,40436
11359-11359_game_3,Bilibili Gaming,1,40,19,4,14.75,3,1,4,8,1,9,77530,199,35525
