gameid,teamname,result,assists,teamkills,teamdeaths,teamkda,dragons,barons,dragons&barons,towers,inhibitors,tower&inhibitors,damagetochampions,visionscore,earnedgold
7669-10736,LGD Gaming,0,27,11,22,1.727272727,0,0,0,3,0,3,47704,194,26545
7674-10780,LGD Gaming,0,28,11,19,2.052631579,0,0,0,5,0,5,72923,320,36437
7674-10779,LGD Gaming,0,19,7,20,1.3,2,0,2,4,0,4,75838,271,33158
7969-10827,LGD Gaming,0,43,17,28,2.142857143,1,0,1,2,0,2,83468,271,37097
7969-10828,LGD Gaming,0,3,2,20,0.25,0,0,0,0,0,0,23810,78,13053
7977-10879,LGD Gaming,1,50,17,5,13.4,4,1,5,8,1,9,61865,261,37436
7977-10882,LGD Gaming,1,54,19,10,7.3,2,1,3,7,1,8,60307,194,33832
7987-10930,LGD Gaming,0,12,6,21,0.857142857,2,0,2,1,0,1,38502,168,23099
7987-10931,LGD Gaming,0,8,6,12,1.166666667,1,0,1,1,0,1,50595,240,30397
7998-10971,LGD Gaming,1,35,15,6,8.333333333,4,1,5,8,1,9,72955,283,40726
7998-10972,LGD Gaming,0,17,7,19,1.263157895,1,0,1,1,0,1,37737,197,28556
7998-10973,LGD Gaming,0,23,13,16,2.25,3,1,4,3,0,3,63056,228,30794
8013-11038,LGD Gaming,0,8,4,9,1.333333333,2,0,2,3,0,3,29835,256,32787
8013-11040,LGD Gaming,0,5,3,20,0.4,1,0,1,2,0,2,29763,174,24293
8023-11096,LGD Gaming,1,55,20,13,5.769230769,4,1,5,9,2,11,90316,380,48843
8023-11098,LGD Gaming,1,39,21,17,3.529411765,3,1,4,8,1,9,72739,245,38007
8346-8346_game_1,LGD Gaming,1,43,17,13,4.615384615,3,1,4,10,3,13,94029,356,45601
8348-8348_game_1,LGD Gaming,1,32,15,0,∞,3,1,4,8,1,9,46750,192,36800
8351-8351_game_1,LGD Gaming,1,45,23,12,5.666666667,4,2,6,11,4,15,95505,260,51685
8354-8354_game_1,LGD Gaming,0,37,21,23,2.52173913,2,1,3,10,2,12,93923,391,50657
5656-7252,LGD Gaming,1,40,17,11,5.181818182,3,0,3,7,1,8,79703,279,40184
5656-7253,LGD Gaming,0,10,6,20,0.8,0,0,0,3,0,3,39249,133,23317
5656-7254,LGD Gaming,0,19,8,14,1.928571429,3,0,3,4,0,4,52014,316,34275
5955-7311,LGD Gaming,0,18,8,13,2,2,0,2,3,0,3,71524,348,35439
5955-7312,LGD Gaming,0,51,24,32,2.34375,0,1,1,3,0,3,132086,344,48166
5960-7323,LGD Gaming,0,39,17,16,3.5,4,1,5,8,0,8,82025,427,48771
5960-7324,LGD Gaming,0,16,8,21,1.142857143,1,0,1,2,0,2,45478,254,27989
5971-7347,LGD Gaming,1,38,16,7,7.714285714,5,1,6,9,2,11,61762,276,42197
5971-7348,LGD Gaming,1,78,29,14,7.642857143,3,2,5,9,2,11,89331,238,43546
5981-7372,LGD Gaming,0,12,12,23,1.043478261,1,0,1,2,0,2,46441,193,27500
5981-7373,LGD Gaming,1,38,21,10,5.9,4,1,5,10,2,12,73000,256,41971
5981-7374,LGD Gaming,0,25,12,23,1.608695652,3,0,3,4,0,4,60672,185,27142
5990-7393,LGD Gaming,1,72,27,17,5.823529412,2,2,4,9,1,10,101425,355,52656
5990-7394,LGD Gaming,0,25,9,19,1.789473684,1,0,1,4,0,4,38441,227,30078
5990-7395,LGD Gaming,0,9,3,16,0.75,3,0,3,1,0,1,43036,212,25909
6002-7423,LGD Gaming,0,3,1,12,0.333333333,0,0,0,2,0,2,43388,155,20339
6002-7424,LGD Gaming,0,10,4,16,0.875,0,0,0,3,0,3,35652,173,24581
6006-7433,LGD Gaming,1,40,18,7,8.285714286,5,2,7,9,1,10,60927,250,41741
6006-7434,LGD Gaming,1,70,26,9,10.66666667,3,1,4,11,3,14,63611,232,42357
6039-7455,LGD Gaming,1,41,14,2,27.5,2,1,3,9,1,10,35474,206,33821
6039-7456,LGD Gaming,0,28,10,17,2.235294118,1,1,2,5,0,5,48035,254,34145
6039-7457,LGD Gaming,0,23,10,19,1.736842105,2,0,2,4,0,4,51943,252,36030
6044-7467,LGD Gaming,1,42,14,10,5.6,3,0,3,8,1,9,106315,306,42729
6044-7468,LGD Gaming,0,30,12,27,1.555555556,2,0,2,3,0,3,68849,198,36340
6044-7469,LGD Gaming,1,59,24,22,3.772727273,2,2,4,10,2,12,89544,243,44309
